NCBI_GeneID_pig,NCBI_GeneID_human,Ensembl_GeneID_pig,Ensembl_GeneID_human,geneName_pig,geneName_human,group,BvsA_log2FoldChange,BvsA_pvalue,BvsA_padj,Avg_norm_nose,Avg_norm_lung,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4
100533555,3455,ENSSSCG00000036556,ENSG00000159110,IFNAR2,IFNAR2,F,-1.4005812,0.000457757,0.002075685,2134.749213,921.7083076,3386.326064,2630.259225,1740.387483,2613.528501,1710.863628,2259.677646,1279.09165,1457.859504,1059.517744,1034.850153,610.7029202,981.7624127
100152238,3459,ENSSSCG00000004156,ENSG00000027697,IFNGR1,IFNGR1,F,-1.369808923,0.000259829,0.001254997,2133.011,848.9300837,2841.171339,2832.686038,1379.139486,4208.430211,1426.632881,2027.667963,804.1728503,1544.187232,846.659675,872.6246681,1024.501626,651.9343662
100126864,3460,ENSSSCG00000034378,ENSG00000159128,IFNGR2,IFNGR2,F,-0.942148943,0.011138321,0.033948077,3603.982959,2131.270111,4665.251089,4142.65828,3400.811216,4228.721581,3171.741178,4176.174302,2879.680057,2166.825969,2336.66616,2275.39798,1998.028048,1914.988257
100521146,55504,ENSSSCG00000009283,ENSG00000127863,TNFRSF19,TNFRSF19,G,-6.090263082,2.98E-18,1.60E-16,92.26636464,1.305681493,35.8130841,141.8277033,51.74124949,129.8647703,34.2446683,122.0467606,84.46831654,138.1243646,0,2.120594576,1.999027562,1.103103834
100037976,8600,ENSSSCG00000009429,ENSG00000120659,TNFSF11,TNFSF11,G,-5.367594794,4.19E-07,3.71E-06,101.9984971,2.942881526,170.3111111,47.70568203,9.407499907,378.7722466,125.335486,4.833535072,9.481137571,70.14127888,0.95452049,5.30148644,0,5.515519172
100624969,9966,ENSSSCG00000034087,ENSG00000181634,TNFSF15,TNFSF15,G,-3.212316677,2.03E-11,3.80E-10,703.9981627,84.85123072,366.8851505,682.0623188,1364.087486,860.3541029,242.4522515,554.6481495,1207.552158,353.9436842,68.72547531,63.61783728,66.96742333,140.094187
100513161,27242,ENSSSCG00000001727,ENSG00000146072,TNFRSF21,TNFRSF21,G,-2.431696197,2.33E-21,1.77E-19,7359.822063,1433.589826,5234.281203,10004.01046,5240.918198,9259.628671,5467.50374,11995.62566,4990.526049,6686.082522,840.932552,2017.745739,1427.305679,1448.375335
110259359,126282,ENSSSCG00000034615,ENSG00000185361,TNFAIP8L1,TNFAIP8L1,G,-2.427492195,5.74E-08,6.04E-07,175.1622093,39.28184119,152.0066459,180.5079861,170.2757483,165.0364789,133.5542064,143.7976684,215.4803993,240.6385414,18.13588932,43.47218881,14.99270672,80.52657992
100737417,7126,ENSSSCG00000024626,ENSG00000109079,TNFAIP1,TNFAIP1,G,-2.142130443,3.48E-16,1.38E-14,265.3648872,59.09558893,176.6778816,283.6554067,153.3422485,511.3425329,117.1167656,254.968975,175.8320059,449.9832814,48.68054501,68.91932372,45.97763393,72.80485308
100517087,608,ENSSSCG00000032578,ENSG00000048462,TNFRSF17,TNFRSF17,G,-2.049094465,0.007539669,0.024260994,61.34504864,15.38298467,16.71277258,76.0712227,88.43049912,87.92927153,15.06765405,122.0467606,62.92027661,21.58193196,0,30.74862135,0.999513781,29.78380353
106508259,23495,ENSSSCG00000040134,ENSG00000240505,TNFRSF13B,TNFRSF13B,G,-1.82867562,0.005775383,0.019294836,36.78434498,11.56492779,31.03800622,42.548311,48.91899952,56.81583699,12.32808059,33.8347455,35.33878549,33.45199454,0,26.5074322,0.999513781,18.75276519
100037306,7133,ENSSSCG00000022208,ENSG00000028137,TNFRSF1B,TNFRSF1B,G,-1.808673808,6.11E-07,5.24E-06,8439.70138,2658.989336,12457.38234,12952.73734,5989.755191,10510.92984,5094.236856,10558.85736,4997.421421,4956.290675,2077.991108,3233.906729,1794.127237,3529.93227
100622025,8784,ENSSSCG00000038351,ENSG00000186891,TNFRSF18,TNFRSF18,G,-1.750654809,0.00284946,0.010400048,51.81588316,18.07832069,66.05524401,55.44173858,38.57074962,83.87099746,32.87488157,59.21080463,35.33878549,43.16386393,2.863561471,23.32654034,1.999027562,44.12415338
100217377,114897,ENSSSCG00000035511,ENSG00000173918,C1QTNF1,C1QTNF1,G,-1.653963275,0.000202673,0.001004942,95.49136123,29.84520923,21.48785046,103.1474206,111.0084989,131.2175283,28.080628,117.2132255,54.30106063,197.4746775,9.545204904,42.41189152,19.99027562,47.43346488
