	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
ENSSSCG00000000588	347	288	485	172	172	25	68	294	30	46	125	167
ENSSSCG00000000589	0	0	0	0	0	5	26	9	38	1	11	0
ENSSSCG00000000590	0	1	0	0	0	0	12	0	0	2	1	0
ENSSSCG00000000591	0	0	0	0	2	13	41	5	0	17	5	0
ENSSSCG00000000598	0	0	0	0	0	0	0	0	0	1	0	0
ENSSSCG00000000599	75	13	97	58	33	1	26	27	36	15	36	56
ENSSSCG00000000600	144	87	228	55	80	17	39	83	17	30	118	87
ENSSSCG00000000601	22	0	1	9	59	10	20	7	9	17	11	55
ENSSSCG00000000602	44	30	12	23	0	22	18	38	26	8	20	14
ENSSSCG00000000605	2	6	0	2	0	0	0	0	2	2	0	0
ENSSSCG00000000607	8	11	1	49	0	4	17	13	0	2	22	13
ENSSSCG00000000610	0	0	0	0	0	0	0	0	0	3	2	0
ENSSSCG00000000611	146	88	47	119	247	87	58	95	52	18	84	73
ENSSSCG00000000612	506	261	433	404	592	170	176	353	60	67	552	435
ENSSSCG00000000614	19	14	0	2	0	1	31	0	0	19	27	0
ENSSSCG00000000619	31	36	29	16	25	5	15	30	11	19	24	12
ENSSSCG00000000623	16	29	35	25	45	36	10	0	7	25	41	16
ENSSSCG00000000625	263	94	376	536	548	74	211	237	130	52	469	392
ENSSSCG00000000629	0	0	0	0	0	0	0	4	0	1	0	0
ENSSSCG00000000631	6	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000633	261	181	125	60	152	172	71	280	178	102	328	518
ENSSSCG00000000634	0	0	41	0	0	0	7	11	4	40	0	0
ENSSSCG00000000635	17	0	51	13	29	0	4	28	1	2	0	27
ENSSSCG00000000636	0	0	0	0	0	0	0	12	8	0	4	0
ENSSSCG00000000638	0	0	0	0	0	0	8	0	0	0	0	0
ENSSSCG00000000639	1	0	0	0	0	0	10	0	0	0	0	0
ENSSSCG00000000640	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000642	3	0	0	18	0	0	0	36	0	2	4	0
ENSSSCG00000000645	71	60	46	9	61	39	36	39	7	7	128	39
ENSSSCG00000000647	38	0	9	27	36	3	19	80	12	11	111	8
ENSSSCG00000000648	1	0	0	10	11	0	5	10	3	16	20	0
ENSSSCG00000000649	17	5	0	0	31	0	15	0	3	8	134	41
ENSSSCG00000000650	0	0	0	0	0	0	0	0	1	1	11	0
ENSSSCG00000000651	0	0	0	0	0	0	11	0	12	11	29	2
ENSSSCG00000000653	87	5	17	52	62	19	13	50	0	9	3	3
ENSSSCG00000000656	19	7	0	0	39	0	7	15	9	11	160	153
ENSSSCG00000000657	168	24	33	148	177	53	71	146	17	15	111	125
ENSSSCG00000000659	26	5	28	52	24	192	83	25	9	23	39	5
ENSSSCG00000000660	201	53	26	88	159	100	55	60	313	203	1851	914
ENSSSCG00000000661	167	33	96	75	138	10	20	61	51	41	151	34
ENSSSCG00000000663	0	0	0	0	1	0	0	0	0	0	0	0
ENSSSCG00000000664	12	16	30	0	0	0	8	18	31	14	17	0
ENSSSCG00000000665	69	20	170	147	49	53	56	108	6	17	15	11
